A,SH,SOG,G,away_team,date,home_team,match_id,number,player,position,season,team,team_side
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,3,Aiden Evans,,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,4,Zachary Stead,,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,5,Adam Hajdecki,DEF,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,7,Gabriel Moore,DEF,2025-26,Victoria,home
0,3,3,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,8,JJ Janzen,MID,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,9,Emmanuel Dan-Adokiene,FOR,2025-26,Victoria,home
0,2,2,1,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,10,Jordan Low,MID,2025-26,Victoria,home
0,1,1,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,11,Charles Nana,FOR,2025-26,Victoria,home
1,1,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,14,Marcel Bona,,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,19,Jonny Grant,DEF,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,22,Francis Powell,MID,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,23,Marc Huizenga,,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,24,Grant Verhoeven,MID,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,27,Kieran Eve,MID,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,29,Peter Rogenthien,GK,2025-26,Victoria,home
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,1,Callum Weir,GK,2025-26,Trinity Western,away
0,2,2,1,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,2,Fin Tugwell,D,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,4,Alexander Moody,D,2025-26,Trinity Western,away
0,1,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,5,Archie Tugwell,D,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,6,Gregor Smith,,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,7,Yassin Guitouni,F,2025-26,Trinity Western,away
0,2,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,8,Connor Legge,M,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,9,Cole Michel,,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,11,Mattheus Achadinha,,2025-26,Trinity Western,away
0,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,15,Aiden Grew,D,2025-26,Trinity Western,away
1,3,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,16,Matteo Hilton,M,2025-26,Trinity Western,away
1,3,3,1,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,17,Matthew Pearse,F,2025-26,Trinity Western,away
0,1,1,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,20,Evan Larson,,2025-26,Trinity Western,away
1,0,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,22,Jag Zaharia,D,2025-26,Trinity Western,away
0,2,0,0,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,24,Takin Keshavarz,M,2025-26,Trinity Western,away
0,1,1,1,Trinity Western,Fri. 22,Victoria,2025-26__fri-22__victoria__trinity-western,28,Sam Calkins,,2025-26,Trinity Western,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,2,Beckham Hatch,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,3,Brody Perkin,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,4,Carson Muter,D,2025-26,UBC,home
0,1,1,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,5,Iza Martinez,,2025-26,UBC,home
0,2,1,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,7,Mateo Brazinha,F,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,8,Grischa Heider,,2025-26,UBC,home
1,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,9,Dante Colebourne,M,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,12,Bhagvir Sidhu,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,13,Adriano Consiglio,M,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,14,Dylan Lee,M,2025-26,UBC,home
0,2,1,1,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,17,Michael Beecroft,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,20,Aidan Fitzgerald,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,21,Ebi Igali,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,22,Adam Szymanski,D,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,24,Nathan Cervo,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,25,Matheus De Souza,GK,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,26,Sloan Hatch,,2025-26,UBC,home
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,1,Jack Garner,GK,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,3,Joshua Tom&eacute;,,2025-26,UFV,away
0,0,0,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,4,Marcus Puhalj,D,2025-26,UFV,away
0,1,1,0,UFV,Fri. 22,UBC,2025-26__fri-22__ubc__ufv,6,Yuan Yu-Hsuan,M,2025-26,UFV,away
