season,team,number,player,year,position,gp,gs,goals,assists,points
2025-26,UBC,9,Max Comsia,So,F,14,11,5,4,9
2025-26,UBC,7,Henri Godbout,So,F,14,10,5,3,8
2025-26,UBC,14,Oliver Herbert,Jr,M,14,2,3,1,4
2025-26,UBC,28,Markus Kaiser,Sr,M,14,13,0,4,4
2025-26,UBC,13,Eric Lajeunesse,Sr,D,14,14,2,0,2
2025-26,UBC,21,Nicolas Nadeau,Fr,M,14,14,2,1,3
2025-26,UBC,24,Luke Norman,Jr,M,14,13,3,6,9
2025-26,UBC,4,Marcus Puhalj,Sr,D,14,14,0,0,0
2025-26,UBC,11,Brennen Fuerst,Jr,M,13,13,1,0,1
2025-26,UBC,27,Markus Rukavina,So,F,13,4,4,2,6
2025-26,UBC,8,Theo Afework,Fr,F,12,10,4,3,7
2025-26,UBC,12,Joven Mann,So,M,12,12,4,0,4
2025-26,UBC,1,Jack Garner,Jr,GK,10,10,0,0,0
2025-26,UBC,6,Yuan Yu-Hsuan,So,M,9,8,0,1,1
2025-26,UBC,2,Cameron Hajdu,Fr,D,8,2,0,0,0
2025-26,UBC,3,Joshua Tome,Jr,D,8,-,0,0,0
2025-26,UBC,17,Asvin Chauhan,Sr,F,7,-,1,1,2
2025-26,UBC,18,Joshua Njongwe,So,D,4,-,0,0,0
2025-26,UBC,22,Roko Vukic,So,GK,4,4,0,0,0
2025-26,UBC,16,Sebastian Agerskov,Fr,M,1,-,0,0,0
2025-26,UBC,19,Adriano Carvalheiro-Nunes,Fr,D,1,-,0,0,0
2025-26,UBC,20,Kyle Dent,Fr,F,1,-,0,0,0
2025-26,UFV,13,Adriano Consiglio,,M,13,13,1,0,1
2025-26,UFV,25,Matheus De Souza,,GK,13,13,0,1,1
2025-26,UFV,14,Dylan Lee,,M,13,9,0,1,1
2025-26,UFV,4,Carson Muter,,D,13,13,0,0,0
2025-26,UFV,17,Michael Beecroft,,D,12,12,5,3,8
2025-26,UFV,7,Mateo Brazinha,,F,12,10,11,2,13
2025-26,UFV,2,Beckham Hatch,,D,12,5,0,3,3
2025-26,UFV,11,Kevin Mailand,,M,12,12,5,2,7
2025-26,UFV,12,Bhagvir Sidhu,,D,12,12,0,1,1
2025-26,UFV,10,Harjoven Sidhu,,M,12,12,1,4,5
2025-26,UFV,21,Ebi Igali,,D,11,10,1,1,2
2025-26,UFV,9,Dante Colebourne,,M,10,4,0,2,2
2025-26,UFV,5,Iza Martinez,,F,10,3,0,0,0
2025-26,UFV,22,Adam Szymanski,,D,10,10,1,3,4
2025-26,UFV,15,Mondo Abay,,D,7,3,0,1,1
2025-26,UFV,20,Aidan Fitzgerald,,D,7,1,1,1,2
2025-26,UFV,26,Sloan Hatch,,D,7,-,0,0,0
2025-26,UFV,3,Brody Perkin,,D,7,1,1,0,1
2025-26,UFV,24,Nathan Cervo,,F,4,-,1,0,1
2025-26,UFV,8,Grischa Heider,,M,4,-,0,1,1
2025-26,UFV,16,Joaquim Dharamsi,,F,3,-,0,0,0
2025-26,Calgary,20,Owen Antoniuk,Jr,F,13,13,9,4,13
2025-26,Calgary,10,Gianmarco Plenzik,Sr,M,13,13,1,1,2
2025-26,Calgary,9,Kimia Kassanda,So,F,12,12,3,4,7
2025-26,Calgary,24,Spencer McCallum,So,F,12,5,0,1,1
2025-26,Calgary,18,William Omoreniye,Jr,D,12,12,0,4,4
2025-26,Calgary,3,Milan Ponjevic,Jr,D,12,12,1,0,1
2025-26,Calgary,1,Hany Shafie,So,GK,12,12,0,0,0
2025-26,Calgary,12,Victor Gouttin,Jr,D,11,11,1,0,1
2025-26,Calgary,16,Edomias Nesibu,Jr,M,11,1,0,0,0
2025-26,Calgary,6,Soliman Aria,Sr,M,10,10,4,3,7
2025-26,Calgary,7,Aidan Izadi,Sr,F,9,1,0,0,0
2025-26,Calgary,8,Nahum Tsegai,Sr,D,9,7,0,0,0
2025-26,Calgary,11,Efe Udolu-Joshua,So,F,9,9,5,0,5
2025-26,Calgary,17,Josral Frederick,Jr,F,8,2,1,0,1
2025-26,Calgary,25,Arash Mahjor,Jr,D,8,-,0,1,1
2025-26,Calgary,5,Joey Plenzik,Jr,D,8,8,1,1,2
2025-26,Calgary,23,Kundai Dziwa,Jr,F,7,-,0,1,1
2025-26,Calgary,21,Felipe Raed Di Bari,Jr,D,7,-,0,0,0
2025-26,Calgary,26,Isaiah Zarate,So,M,7,2,0,0,0
2025-26,Calgary,14,James Greco-Taylor,Sr,M,6,6,0,2,2
2025-26,Calgary,19,Dominic Anamali,Jr,F,4,2,0,0,0
2025-26,Calgary,22,Jacob Hunter,Sr,D,3,3,0,0,0
2025-26,Calgary,2,Doohyeon Kim,Sr,D,3,1,0,0,0
2025-26,Calgary,4,James Welsh,Jr,D,2,-,0,0,0
2025-26,Calgary,27,Oliver Allen,Jr,GK,1,1,0,0,0
2025-26,Calgary,13,Greg Smith,So,M,1,-,0,0,0
2025-26,Victoria,7,Yassin Guitouni,,F,15,15,5,0,5
2025-26,Victoria,4,Alexander Moody,,D,15,15,1,3,4
2025-26,Victoria,17,Matthew Pearse,,F,15,15,8,3,11
2025-26,Victoria,2,Fin Tugwell,,D,15,15,3,0,3
2025-26,Victoria,11,Mattheus Achadinha,,M,14,4,0,1,1
2025-26,Victoria,14,Ole Cameron,,M,14,12,1,3,4
2025-26,Victoria,24,Takin Keshavarz,,M,14,10,3,2,5
2025-26,Victoria,20,Evan Larson,,M,14,-,0,2,2
2025-26,Victoria,8,Connor Legge,,M,14,13,1,1,2
2025-26,Victoria,1,Callum Weir,,GK,14,14,0,1,1
2025-26,Victoria,15,Aiden Grew,,D,13,13,0,1,1
2025-26,Victoria,16,Matteo Hilton,,M,13,8,0,1,1
2025-26,Victoria,5,Archie Tugwell,,D,12,12,1,1,2
2025-26,Victoria,10,Jack Napier-Ganley,,M,10,2,0,0,0
2025-26,Victoria,22,Jag Zaharia,,D,10,5,0,1,1
2025-26,Victoria,13,Wesley Jones,,F,8,-,1,0,1
2025-26,Victoria,3,Manchand Virk,,D,8,5,0,1,1
2025-26,Victoria,12,Tristan Cornwell,,D,6,2,0,0,0
2025-26,Victoria,9,Cole Michel,,F,4,-,0,0,0
2025-26,Victoria,6,Gregor Smith,,M,4,2,0,0,0
2025-26,Victoria,18,Elliot Lupton,,M,3,-,1,0,1
2025-26,Victoria,28,Sam Calkins,,M,2,-,1,0,1
2025-26,Victoria,23,Owen Lemmer,,D,2,2,0,0,0
2025-26,Victoria,29,Matthew McConnach,,GK,1,1,0,0,0
2025-26,Victoria,27,Jacob Thomas,,D,1,-,0,0,0
2025-26,UNBC,20,James Jordan,Jr,M,13,12,1,1,2
2025-26,UNBC,22,Josh Jordan,Fr,S,13,11,3,0,3
2025-26,UNBC,8,Hagon Kim,Jr,D,13,13,2,2,4
2025-26,UNBC,17,Mark Talisuna,Sr,M,13,13,2,0,2
2025-26,UNBC,29,Jamie Wildash-Chan,Fr,D,13,13,5,1,6
2025-26,UNBC,4,Pipeijn van der Ende,Sr,D,13,12,1,1,2
2025-26,UNBC,10,Mehdi Bounaaja,So,M,12,2,1,2,3
2025-26,UNBC,3,Adam Korduner,Sr,D,12,7,0,0,0
2025-26,UNBC,19,Wyatt Lyon,So,M,12,12,0,6,6
2025-26,UNBC,21,Koss Nystedt,Jr,D,12,12,1,0,1
2025-26,UNBC,13,Isaac Tate,Jr,M,12,12,3,2,5
2025-26,UNBC,6,Luke Graham,So,D,11,4,0,0,0
2025-26,UNBC,14,Charlie Stewart,Sr,M,11,1,1,0,1
2025-26,UNBC,26,Charlie Beauvais,Fr,D,9,5,0,0,0
2025-26,UNBC,27,Logan Pierce,So,GK,9,9,0,0,0
2025-26,UNBC,16,Trevor Scott,Sr,M,9,-,1,0,1
2025-26,UNBC,9,Cole Gunhold,So,S,8,-,0,0,0
2025-26,UNBC,25,Yanni Ntapas,Jr,GK,5,4,0,0,0
2025-26,UNBC,12,Jacob Wedel,So,D,1,-,0,0,0
2025-26,UNBC,11,Kaiden Young,Fr,M,1,-,0,0,0
2025-26,Mount Royal,7,Joshua Flaksman,,Fwd,13,12,3,3,6
2025-26,Mount Royal,6,Alex Kemsley,,Def,13,13,0,0,0
2025-26,Mount Royal,21,Kwasi Oteng-Frimpong,,Fwd,13,8,3,1,4
2025-26,Mount Royal,20,Chanan Chanda,,Fwd,12,12,7,3,10
2025-26,Mount Royal,13,Joseph Green,,Def,12,12,0,0,0
2025-26,Mount Royal,26,Ruben Koudelka,,Def,12,12,0,0,0
2025-26,Mount Royal,9,Luka Patik,,Mid,12,7,1,1,2
2025-26,Mount Royal,10,Jonathan Walter,,Mid,12,12,2,0,2
2025-26,Mount Royal,4,Maximo Niro,,Mid,11,3,0,0,0
2025-26,Mount Royal,8,Skyler Rogers,,Mid,11,11,1,0,1
2025-26,Mount Royal,2,Hyunsoo Ryu,,Def,11,11,1,0,1
2025-26,Mount Royal,12,Sjard Strauss,,G,11,11,0,0,0
2025-26,Mount Royal,25,Tim Beckedahl,,Mid,10,4,1,1,2
2025-26,Mount Royal,17,Bwidju Mutongolo,,Fwd,10,1,0,0,0
2025-26,Mount Royal,18,Felix Liebich,,Mid,9,2,0,0,0
2025-26,Mount Royal,15,Alexander Cameron,,Def,7,2,0,0,0
2025-26,Mount Royal,11,Finn Marshall,,Fwd,6,6,1,5,6
2025-26,Mount Royal,19,Clement Guay,,Fwd,5,-,0,0,0
2025-26,Mount Royal,3,Timon Haetscher,,Fwd,5,1,0,0,0
2025-26,Mount Royal,27,Valentin Kirchner,,Def,4,1,0,0,0
2025-26,Mount Royal,5,Thomas Lowndes,,Def,3,-,0,0,0
2025-26,Mount Royal,1,Bryce Benton,,G,2,2,0,0,0
2025-26,Mount Royal,22,Dorian Reyes,,G,1,-,0,0,0
2025-26,Alberta,11,Prince Amanda,4th,F,12,12,2,0,2
2025-26,Alberta,6,Jackson Belbin,3rd,D,12,12,1,1,2
2025-26,Alberta,14,Rodane Cato,5th,M,12,12,1,1,2
2025-26,Alberta,8,Thomas Hope,4th,D,12,12,2,0,2
2025-26,Alberta,13,Nicholas Lechelt,3rd,M,12,5,0,2,2
