season,team,number,player,year,position,gp,gs,goals,assists,points
2023-24,UBC,9,Sebastian Dzikowski,Jr,F,16,16.0,15,4,19
2023-24,UBC,28,Markus Kaiser,Jr,M,16,16.0,0,3,3
2023-24,UBC,11,Brennan Fuerst,Fr,M,15,15.0,2,1,3
2023-24,UBC,13,Eric Lajeunesse,So,D,15,15.0,1,1,2
2023-24,UBC,8,Chris Lee,So,D,15,15.0,2,5,7
2023-24,UBC,10,Connor Mrazek,Jr,M,15,6.0,5,2,7
2023-24,UBC,14,Logan Chung,Sr,F,14,10.0,0,0,0
2023-24,UBC,1,Bennett McKay,Jr,GK,14,14.0,0,0,0
2023-24,UBC,24,Luke Norman,Fr,M,14,11.0,4,5,9
2023-24,UBC,35,Thomas Pena,Fr,F,14,8.0,4,2,6
2023-24,UBC,7,Bradley Richardson,Sr,F,14,7.0,2,1,3
2023-24,UBC,2,Eric White,Fr,D,13,12.0,0,0,0
2023-24,UBC,3,Noah Hrdlicka,Jr,D,12,12.0,0,0,0
2023-24,UBC,27,Joshua Tomé,Fr,D,12,6.0,0,0,0
2023-24,UBC,6,Sam Aiello,Jr,M,11,1.0,0,0,0
2023-24,UBC,26,Asvin Chauhan,So,M,11,2.0,1,2,3
2023-24,UBC,4,Chris Fisher,Sr,D,5,2.0,0,0,0
2023-24,UBC,16,Eric Kim,Fr,D,5,3.0,2,1,3
2023-24,UBC,31,Brandon Momotani,So,M,4,2.0,1,0,1
2023-24,UBC,15,Oliver Herbert,Fr,M,3,0.0,0,0,0
2023-24,UBC,23,Nicholas Momotani,Jr,M,2,0.0,0,0,0
2023-24,UBC,22,Axel Thulin Lennselius,Jr,GK,2,2.0,0,0,0
2023-24,UBC,30,Jack Garner,Fr,GK,1,0.0,0,0,0
2023-24,UBC,17,Manmeet Jhutty,So,M,1,0.0,0,0,0
2023-24,UBC,20,Marcus Puhalj,Jr,D,1,1.0,0,0,0
2023-24,UBC,21,Michael Weiland,Fr,D,1,0.0,0,0,0
2023-24,UFV,8,Kian Proctor,,F,16,16.0,5,6,11
2023-24,UFV,13,Adriano Consiglio,,M,15,15.0,0,2,2
2023-24,UFV,9,Parmbir Kular,,M,14,9.0,0,0,0
2023-24,UFV,4,Carson Muter,,D,14,13.0,1,0,1
2023-24,UFV,12,Bhagvir Sidhu,,D,14,12.0,0,1,1
2023-24,UFV,5,William Stuart,,M,14,14.0,0,2,2
2023-24,UFV,18,Michael Beecroft,,D,12,6.0,2,0,2
2023-24,UFV,17,Roland Mansell,,F,12,3.0,1,0,1
2023-24,UFV,24,Tyler Sayers,,M,12,9.0,0,1,1
2023-24,UFV,22,Adam Szymanski,,D,12,10.0,0,0,0
2023-24,UFV,14,Dylan Lee,,D,11,1.0,0,0,0
2023-24,UFV,6,Gurnaj Sidhu,,D,11,8.0,0,0,0
2023-24,UFV,7,Mateo Brazinha,,F,10,9.0,3,0,3
2023-24,UFV,25,Jackson Cowx,,GK,10,10.0,0,0,0
2023-24,UFV,16,Jeevan Dhaliwal,,F,10,9.0,2,1,3
2023-24,UFV,21,Brede Kidd,,,10,1.0,0,0,0
2023-24,UFV,20,Kadir Yagci,,D,9,4.0,0,0,0
2023-24,UFV,19,Manpal Brar,,F,8,7.0,1,0,1
2023-24,UFV,11,Kevin Mailand,,M,8,5.0,1,1,2
2023-24,UFV,29,Aiden Thompson,,D,7,1.0,0,0,0
2023-24,UFV,31,Kody Torrance,,GK,7,6.0,0,0,0
2023-24,UFV,2,Nicolas Burret,,D,5,4.0,0,0,0
