season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,ubc,9,sebastian dzikowski,Jr,F,16,16.0,15,4,19,3,3rd,F,FOR
2023-24,ubc,28,markus kaiser,Jr,M,16,16.0,0,3,3,3,3rd,M,MID
2023-24,ubc,11,brennan fuerst,Fr,M,15,15.0,2,1,3,1,1st,M,MID
2023-24,ubc,13,eric lajeunesse,So,D,15,15.0,1,1,2,2,2nd,D,DEF
2023-24,ubc,8,chris lee,So,D,15,15.0,2,5,7,2,2nd,D,DEF
2023-24,ubc,10,connor mrazek,Jr,M,15,6.0,5,2,7,3,3rd,M,MID
2023-24,ubc,14,logan chung,Sr,F,14,10.0,0,0,0,4,4th,F,FOR
2023-24,ubc,1,bennett mckay,Jr,GK,14,14.0,0,0,0,3,3rd,GK,GK
2023-24,ubc,24,luke norman,Fr,M,14,11.0,4,5,9,1,1st,M,MID
2023-24,ubc,35,thomas pena,Fr,F,14,8.0,4,2,6,1,1st,F,FOR
2023-24,ubc,7,bradley richardson,Sr,F,14,7.0,2,1,3,4,4th,F,FOR
2023-24,ubc,2,eric white,Fr,D,13,12.0,0,0,0,1,1st,D,DEF
2023-24,ubc,3,noah hrdlicka,Jr,D,12,12.0,0,0,0,3,3rd,D,DEF
2023-24,ubc,27,joshua tome,Fr,D,12,6.0,0,0,0,1,1st,D,DEF
2023-24,ubc,6,sam aiello,Jr,M,11,1.0,0,0,0,3,3rd,M,MID
2023-24,ubc,26,asvin chauhan,So,M,11,2.0,1,2,3,2,2nd,M,MID
2023-24,ubc,4,chris fisher,Sr,D,5,2.0,0,0,0,4,4th,D,DEF
2023-24,ubc,16,eric kim,Fr,D,5,3.0,2,1,3,1,1st,D,DEF
2023-24,ubc,31,brandon momotani,So,M,4,2.0,1,0,1,2,2nd,M,MID
2023-24,ubc,15,oliver herbert,Fr,M,3,0.0,0,0,0,1,1st,M,MID
2023-24,ubc,23,nicholas momotani,Jr,M,2,0.0,0,0,0,3,3rd,M,MID
2023-24,ubc,22,axel thulin lennselius,Jr,GK,2,2.0,0,0,0,3,3rd,GK,GK
2023-24,ubc,30,jack garner,Fr,GK,1,0.0,0,0,0,1,1st,GK,GK
2023-24,ubc,17,manmeet jhutty,So,M,1,0.0,0,0,0,2,2nd,M,MID
